id,kode,kelompok_id,nama,qty_item,satuan,foto_barang,harga_total
77,1010301006000202,1,Map Folio Logo BPS Cetak,0,Buah,,0
78,1010301006000203,1,Bantex PP Pocket Map Ordner,0,Buah,,0
79,1010301006000204,1,Map Folder dengan list luar,0,Buah,,0
80,1010301006000205,1,Box Arsip File Logo,0,Buah,,0
81,1010301006000207,1,Map Kancing,0,Buah,,0
82,1010301006000208,1,Map Plastik Sablon satu sisi,0,Buah,,0
83,1010301006000209,1,Interx map kancing Folio joyko,0,Buah,NULL,0
84,1010301006000210,1,Map Kancing Plastik F4,0,Buah,,0
85,1010301006000211,1,Map Plastik Kancing Jaring Kancing dua,0,Buah,,0
86,1010301006000212,1,Map L plastik warna F4 merk Daichi,0,Buah,,0
87,1010301006000213,1,Map Hijau Snelhcter Logo BPS,314,Buah,backend/assets/images/barang/foto_1010301006000213.png,2614050
88,1010301006000214,1,Map Hijau Folio Logo BPS,0,Buah,,0
89,1010301006000215,1,Map Plastik Kancing Berwarna FKP,0,Buah,,0
90,1010301006000216,1,Map Jaring Berwarna FKP,0,Buah,,0
91,1010301006000217,1,Map Plastik Kancing warna-warni,208,Buah,backend/assets/images/barang/foto_1010301006000217.jpg,923520
92,1010301006000218,1,Map Jaring Resleting Warna-warni,15,Buah,backend/assets/images/barang/foto_1010301006000218.png,199800
93,1010301006000219,1,Map Lidah Arsip,0,,,0
94,1010301006000220,1,Map Lidah Arsip (Aplikasi Sekar),100,Buah,backend/assets/images/barang/foto_1010301006000220.png,675000
95,1010301006000221,1,Map Folio custom BPS,407,Buah,NULL,2061048
96,1010301006000222,1,Map File bisnis Felix uk F4,37,Buah,backend/assets/images/barang/foto_1010301006000222.jpg,205350
97,1010301006000223,1,PP Pocket Bantex uk F4,2,pack,backend/assets/images/barang/foto_1010301006000223.jpg,344100
98,1010301006000224,1,Map L Plastik,6,pack,backend/assets/images/barang/foto_1010301006000224.jpg,99900
99,1010301006000225,1,Bantex box file F4 Warna ,8,Buah,,349600
100,1010301006000061,1,Penggaris Besi 30 cm,0,Buah,,0
101,1010301008000001,1,Cutter,1,Paket,backend/assets/images/barang/foto_1010301008000001.jpg,17600
102,1010301008000002,1,Gunting Kertas,0,Buah,,0
103,1010301010000086,1,lakban hitam,6,Buah,backend/assets/images/barang/foto_1010301010000086.png,100815
104,1010301010000087,1,lakban coklat ,0,Buah,,0
105,1010301010000200,1,Double tape,0,roll,backend/assets/images/barang/foto_1010301010000200.jpg,0
106,1010301010000203,1,Lem Kertas Cair Merk Joyko 35 ml,0,Buah,,0
107,1010301010000205,1,Glue Stick Kenko,0,Buah,backend/assets/images/barang/foto_1010301010000205.jpg,0
108,1010301010000206,1,Lakban Bening,5,Buah,backend/assets/images/barang/foto_1010301010000206.png,99900
109,1010301010000207,1,Lem Stik Besar Kenko,0,Buah,,0
110,1010301010000208,1,Isolasi 1x27,0,Buah,,0
111,1010301010000209,1,Double tape 3M,0,Buah,backend/assets/images/barang/foto_1010301010000209.png,0
112,1010301010000210,1,Lakban coklat besar daimaru,2,Buah,backend/assets/images/barang/foto_1010301010000210.png,28500
113,1010301012000001,1,Stapler HD 10,10,Buah,backend/assets/images/barang/foto_1010301012000001.png,199800
114,1010301012000002,1,Stapler HD 50,0,,,
115,1010301013000001,1,Isi Staples No.10,27,Buah,backend/assets/images/barang/foto_1010301013000001.png,115875
116,1010301013000002,1,Isi Staples No.3,21,Kotak,backend/assets/images/barang/foto_1010301013000002.png,149445
117,1010301999000022,1,Stapples 10 Max,0,Kotak,,0
118,1010301999000171,1,Cutter L500 KENKO,0,Buah,,0
119,1010301999000201,1,Sticky Notes TJ 654 mix,0,Pad,,0
120,1010301999000214,1,Post it Sign Here,2,Kotak,backend/assets/images/barang/foto_1010301999000214.png,45000
121,1010301999000220,1,Memo Stick Joyko,2,Pad,backend/assets/images/barang/foto_1010301999000220.png,45000
122,1010301999000223,1,Box file bantex folio warna,8,Buah,backend/assets/images/barang/foto_1010301999000223.jpg,0
123,1010301999000224,1,Deli pencabut isi staples,5,Buah,backend/assets/images/barang/foto_1010301999000224.png,55000
124,1010301999000226,1,Joyko pencabut stapler,1,Buah,backend/assets/images/barang/foto_1010301999000226.png,5400
125,1010301999000227,1,Gunting Kecil,3,Buah,backend/assets/images/barang/foto_1010301999000227.jpg,17700
126,1010301999000228,1,Rautan Meja Joyko A5,4,Buah,backend/assets/images/barang/foto_1010301999000228.jpg,400000
127,1010301999000229,1,Pulpen Gel Kokoro,25,Buah,backend/assets/images/barang/foto_1010301999000229.jpg,0
128,1010302001000103,1,Kertas A3 80 Gr Tahun 2022,0,Rim,,0
129,1010302001000104,1,Kertas HVS F4 75 Gram,0,Rim,,0
130,1010302001000105,1,Kertas HVS A4 75 Gram,0,Rim,,0
131,1010302001000106,1,Kertas F4 75 Gr,0,Rim,,0
132,1010302001000107,1,Kertas A4 75 Gr,0,Rim,,0
133,1010302001000108,1,Kertas Paper One A4 75 Gr,39,Rim,backend/assets/images/barang/foto_1010302001000108.jpg,1501500
134,1010302001000109,1,Kertas Paper One F4 75 Gr,10,Rim,backend/assets/images/barang/foto_1010302001000109.jpg,481253
135,10103020010001010,1,Kertas Paper One A3 75 Gr,0,Rim,,0
136,10103020010001011,1,Kertas A3 85 Gram ,0,Rim,,0
137,10103020010001012,1,Kertas F4 Paper One 75 Gr,0,Rim,,0
138,1010302001000113,1,Kertas A3 Paper One,81,Rim,backend/assets/images/barang/foto_1010302001000113.jpg,10578810
139,1010302002000085,1,Kertas HVS F4 70gr,0,Rim,,0
140,1010302002000097,1,Kartu Kendali,0,Buah,,0
141,1010302002000098,1,lembar pengantar,48,Rim,backend/assets/images/barang/foto_1010302002000098.png,1332000
142,1010302002000099,1,lembar disposisi,13,Buah,backend/assets/images/barang/foto_1010302002000099.png,207350
143,1010302002000102,1,Photo Paper Kertas Sticker A4,0,Buah,,0
144,1010302002000105,1,Memo Tempel Persegi,0,Buah,,0
145,1010302002000106,1,Memo sticky notes 6 warna,0,Buah,backend/assets/images/barang/foto_1010302002000106.png,0
146,1010302002000107,1,Kertas Concorde 220gr Putih,0,pack,backend/assets/images/barang/foto_1010302002000107.jpg,32000
147,1010302005000140,1,Amplop coklat kecil logo BPS,1070,Buah,backend/assets/images/barang/foto_1010302005000140.png,840385
148,1010302005000141,1,Amplop coklat folio logo BPS,455,Buah,backend/assets/images/barang/foto_1010302005000141.png,48840
149,1010302005000142,1,Amplop Logo BPS Cetak ,0,Buah,,0
150,1010302005000143,1,Amplop Putih Polos isi 100,0,Buah,,0
151,1010302004000144,1,Amplop putih polos no 90,2,Kotak,backend/assets/images/barang/foto_1010302004000144.jpg,2297000
152,1010302999000002,1,Kertas Foto Printech,0,pack,backend/assets/images/barang/foto_1010302999000002.jpg,0
153,1010302999000003,1,Label tom & jerry putih no 103,0,pack,backend/assets/images/barang/foto_1010302999000003.jpg,0
154,1010302999000004,1,Label tom & jerry putih no 105,2,pack,backend/assets/images/barang/foto_1010302999000004.jpg,14567
155,1010302999000005,1,Label tom & jerry putih no 121,3,pack,backend/assets/images/barang/foto_1010302999000005.jpg,21267
156,1010302999000006,1,Label tom & jerry putih TJ-L.01,5,Pad,backend/assets/images/barang/foto_1010302999000006.jpg,133500
157,1010302999000007,1,Memo Stick Joyko Warna,6,Pad,,120000
158,1010304004000170,1,Tinta Epson Black BK774,0,Buah,,0
159,1010304004000171,1,Epson T774 Black Ink Bottle,0,Buah,backend/assets/images/barang/foto_1010304004000171.png,0
160,1010304004000172,1,Tinta HP Laser Jet 89A,0,Buah,,0
161,1010304004000173,1,Epson T6641 Black,8,Buah,backend/assets/images/barang/foto_1010304004000173.png,893850
162,1010304004000174,1,Epson T6642 Cyan,0,Buah,,0
163,1010304004000175,1,Epson T6643 Magenta,0,Buah,backend/assets/images/barang/foto_1010304004000175.jpg,0
164,1010304004000176,1,Epson T6644 Yellow,0,Buah,backend/assets/images/barang/foto_1010304004000176.jpg,0
165,1010304004000177,1,Epson 003 Black,0,Buah,,0
166,1010304004000178,1,Epson 003 Cyan,0,Buah,backend/assets/images/barang/foto_1010304004000178.png,0
167,1010304004000179,1,Epson 003 Magenta,0,Buah,backend/assets/images/barang/foto_1010304004000179.png,0
168,1010304004000180,1,Epson 003 Yellow,0,Buah,backend/assets/images/barang/foto_1010304004000180.png,0
169,1010304004000181,1,Epson T 7741,0,Buah,,0
170,1010304004000182,1,Tinta Hp Laser Jet 80A,0,Buah,,0
171,1010304004000183,1,Tinta Hp Laser Jet 204A Black,6,Buah,backend/assets/images/barang/foto_1010304004000183.png,6400000
172,1010304004000184,1,Tinta Hp Laser Jet 204A Cyan,4,Buah,backend/assets/images/barang/foto_1010304004000184.png,4600000
